frame,time,offset,recv time,send,the,raw,time_2
180,0.036453991,-0.008504181,1641996546,1641996546,0.037970076,8.3535,0.039453991
181,0.043822989,-0.008504853,1641996546,1641996546,0.045330057,8.3535,0.046822989
182,0.036623275,-0.008505379,1641996546,1641996546,0.038130054,8.3535,0.039623275
183,0.037766675,-0.008505801,1641996546,1641996546,0.039269934,8.3535,0.040766675
184,0.040533645,-0.008503778,1641996546,1641996546,0.042039881,8.3535,0.043533645
185,0.037032123,-0.008504148,1641996546,1641996546,0.038540134,8.3535,0.040032123
186,0.040300385,-0.008504645,1641996546,1641996546,0.041800032,8.3535,0.043300385
187,0.040002541,-0.008504585,1641996546,1641996546,0.041510115,8.3535,0.043002541
188,0.047870381,-0.008505805,1641996546,1641996546,0.049369822,8.3535,0.050870381
189,0.040785872,-0.008505903,1641996546,1641996546,0.042289982,8.3535,0.043785872
190,0.04703243,-0.00850661,1641996546,1641996546,0.048539886,8.3535,0.05003243
191,0.036994523,-0.008507079,1641996546,1641996546,0.03850008,8.3535,0.039994523
192,0.036532333,-0.008507183,1641996546,1641996546,0.038040171,8.3535,0.039532333
193,0.038170705,-0.008507858,1641996546,1641996546,0.03967,8.3535,0.041170705
194,0.037026123,-0.008510784,1641996547,1641996546,0.038530121,8.3535,0.040026123
195,0.039629038,-0.008511599,1641996547,1641996547,0.041130075,8.3535,0.042629038
196,0.037814961,-0.008511887,1641996547,1641996547,0.039309988,8.3535,0.040814961
197,0.037352811,-0.008512508,1641996547,1641996547,0.038840065,8.3535,0.040352811
198,0.046678952,-0.008512667,1641996547,1641996547,0.048180113,8.3535,0.049678952
199,0.042233068,-0.008512813,1641996547,1641996547,0.043729792,8.3535,0.045233068
200,0.041106718,-0.008512991,1641996547,1641996547,0.04260994,8.3535,0.044106718
201,0.037977342,-0.008513574,1641996547,1641996547,0.039469967,8.3535,0.040977342
202,0.045342473,-0.008514432,1641996547,1641996547,0.046839962,8.3535,0.048342473
203,0.048653467,-0.0085157,1641996547,1641996547,0.050149927,8.3535,0.051653467
204,0.036605567,-0.008516044,1641996547,1641996547,0.038100014,8.3535,0.039605567
205,0.033989283,-0.008516642,1641996547,1641996547,0.035480032,8.3535,0.036989283
206,0.048549449,-0.008517062,1641996547,1641996547,0.050040016,8.3535,0.051549449
207,0.158908994,-0.00851217,1641996547,1641996547,0.160409937,8.3535,0.161908994
208,0.043567813,-0.008512176,1641996547,1641996547,0.045059929,8.3535,0.046567813
209,0.038198567,-0.008512593,1641996547,1641996547,0.039690027,8.3535,0.041198567
210,0.036991599,-0.00851393,1641996547,1641996547,0.038479815,8.3535,0.039991599
211,0.037048908,-0.008514257,1641996547,1641996547,0.038539896,8.3535,0.040048908
212,0.037935147,-0.008514533,1641996547,1641996547,0.039429913,8.3535,0.040935147
213,0.04857171,-0.008514051,1641996547,1641996547,0.050060043,8.3535,0.05157171
214,0.040981651,-0.008515001,1641996548,1641996548,0.042480001,8.3535,0.043981651
215,0.0369377,-0.008517013,1641996548,1641996548,0.038429985,8.3535,0.0399377
216,0.037395427,-0.008517691,1641996548,1641996548,0.038889894,8.3535,0.040395427
217,0.040039131,-0.008518049,1641996548,1641996548,0.041530142,8.3535,0.043039131
218,0.048567794,-0.008518241,1641996548,1641996548,0.050070057,8.3535,0.051567794
219,0.047752547,-0.008519101,1641996548,1641996548,0.049239883,8.3535,0.050752547
220,0.036024187,-0.008519505,1641996548,1641996548,0.037519941,8.3535,0.039024187
221,0.038282461,-0.008521385,1641996548,1641996548,0.039769897,8.3535,0.041282461
222,0.03586632,-0.008521854,1641996548,1641996548,0.037349949,8.3535,0.03886632
223,0.0373641,-0.008522128,1641996548,1641996548,0.038850079,8.3535,0.0403641
224,0.168215034,-0.008520363,1641996548,1641996548,0.169710169,8.3535,0.171215034
225,0.040028545,-0.008521053,1641996548,1641996548,0.041520128,8.3535,0.043028545
226,0.03765143,-0.008521687,1641996548,1641996548,0.039139996,8.3535,0.04065143
227,0.037708034,-0.0085225,1641996548,1641996548,0.039200077,8.3535,0.040708034
