T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641991208.115915992s,1641991208.117154490s,1641991208.117184322s,1641991208.116636232s,0.001239s,-0.000548s,0.000345s,0.000893,0.003690813
1641991208.116636232s,1641991208.117870662s,1641991208.117898667s,1641991208.117350847s,0.001234s,-0.000548s,0.000343s,0.000891,0.003687477
1641991208.117350847s,1641991208.118594804s,1641991208.118622648s,1641991208.118111526s,0.001244s,-0.000511s,0.000367s,0.000877,0.003680402
1641991208.118111526s,1641991208.119352664s,1641991208.119437276s,1641991208.118889094s,0.001241s,-0.000548s,0.000346s,0.000895,0.003679217
1641991208.118889094s,1641991208.120106743s,1641991208.120137474s,1641991208.119591129s,0.001218s,-0.000546s,0.000336s,0.000882,0.003677278
1641991208.119591129s,1641991208.120832429s,1641991208.120863567s,1641991208.120314433s,0.001241s,-0.000549s,0.000346s,0.000895,0.003676445
1641991208.120314433s,1641991208.121947948s,1641991208.121978319s,1641991208.121448746s,0.001634s,-0.000530s,0.000552s,0.001082,0.003676155
1641991208.121448746s,1641991208.122720380s,1641991208.122751998s,1641991208.122240093s,0.001272s,-0.000512s,0.000380s,0.000892,0.003675964
1641991208.122240093s,1641991208.124770185s,1641991208.124800574s,1641991208.124311563s,0.002530s,-0.000489s,0.001020s,0.00151,0.003675076
1641991208.124311563s,1641991208.125559130s,1641991208.125587558s,1641991208.125044509s,0.001248s,-0.000543s,0.000352s,0.000895,0.003674899
1641991208.125044509s,1641991208.126275379s,1641991208.126310840s,1641991208.128310989s,0.001231s,0.002000s,0.001615s,-0.000385,0.003674934
1641991208.128310989s,1641991208.129580847s,1641991208.129615959s,1641991208.129176160s,0.001270s,-0.000440s,0.000415s,0.000855,0.003674363
1641991208.129176160s,1641991208.130438599s,1641991208.130482911s,1641991208.129946486s,0.001262s,-0.000536s,0.000363s,0.000899,0.003674593
1641991208.129946486s,1641991208.131209373s,1641991208.131235005s,1641991208.130740830s,0.001263s,-0.000494s,0.000384s,0.000879,0.003673986
1641991208.130740830s,1641991208.132021717s,1641991208.132052135s,1641991208.131516735s,0.001281s,-0.000535s,0.000373s,0.000908,0.003672997
1641991208.131516735s,1641991208.132790561s,1641991208.132792619s,1641991208.132248013s,0.001274s,-0.000545s,0.000365s,0.000909,0.003672497
1641991208.132248013s,1641991208.133503345s,1641991208.133529516s,1641991208.132989085s,0.001256s,-0.000540s,0.000358s,0.000898,0.003672998
1641991208.132989085s,1641991208.134246140s,1641991208.134277021s,1641991208.133724873s,0.001257s,-0.000552s,0.000352s,0.000905,0.003671978
1641991208.133724873s,1641991208.134964720s,1641991208.134995043s,1641991208.134446860s,0.001240s,-0.000548s,0.000346s,0.000894,0.003691656
1641991208.134446860s,1641991208.135700766s,1641991208.135723328s,1641991208.135180910s,0.001254s,-0.000542s,0.000356s,0.000898,0.003689506
1641991208.135180910s,1641991208.136436386s,1641991208.136466245s,1641991208.135918050s,0.001256s,-0.000548s,0.000354s,0.000902,0.003705792
1641991208.135918050s,1641991208.137182733s,1641991208.137205996s,1641991208.138821375s,0.001265s,0.001615s,0.001440s,-0.000175,0.003697354
1641991208.138821375s,1641991208.140080648s,1641991208.140117075s,1641991208.139571692s,0.001259s,-0.000546s,0.000357s,0.000902,0.003696088
1641991208.139571692s,1641991208.141224171s,1641991208.141229030s,1641991208.140677975s,0.001652s,-0.000551s,0.000551s,0.001102,0.003695305
1641991208.140677975s,1641991208.141969783s,1641991208.141972141s,1641991208.141418611s,0.001292s,-0.000553s,0.000369s,0.000923,0.003702619
1641991208.141418611s,1641991208.142688921s,1641991208.142690991s,1641991208.142135242s,0.001270s,-0.000556s,0.000357s,0.000913,0.00370398
1641991208.142135242s,1641991208.143406979s,1641991208.143409307s,1641991208.142862175s,0.001272s,-0.000547s,0.000362s,0.000909,0.003708607
1641991208.142862175s,1641991208.144131239s,1641991208.144133008s,1641991208.143573139s,0.001269s,-0.000560s,0.000355s,0.000915,0.003707987
1641991208.143573139s,1641991208.144841741s,1641991208.144843586s,1641991208.144297196s,0.001269s,-0.000546s,0.000361s,0.000908,0.003733823
1641991208.144297196s,1641991208.145563479s,1641991208.145565282s,1641991208.145018346s,0.001266s,-0.000547s,0.000360s,0.000907,0.003733362
1641991208.145018346s,1641991208.146259795s,1641991208.146297964s,1641991208.145752855s,0.001241s,-0.000545s,0.000348s,0.000893,0.003731806
1641991208.145752855s,1641991208.146988640s,1641991208.147024246s,1641991208.146485058s,0.001236s,-0.000539s,0.000348s,0.000887,0.003732106
1641991208.146485058s,1641991208.147748323s,1641991208.147779088s,1641991208.147257586s,0.001263s,-0.000521s,0.000371s,0.000892,0.003731155
1641991208.147257586s,1641991208.149586107s,1641991208.149620534s,1641991208.149615993s,0.002329s,-0.000005s,0.001162s,0.001167,0.003729507
1641991208.149615993s,1641991208.150769474s,1641991208.150797908s,1641991208.150285669s,0.001153s,-0.000512s,0.000321s,0.000833,0.003728231
1641991208.150285669s,1641991208.151564005s,1641991208.151566114s,1641991208.151042294s,0.001278s,-0.000524s,0.000377s,0.000901,0.003735935
1641991208.151042294s,1641991208.152318761s,1641991208.152320218s,1641991208.151787036s,0.001276s,-0.000533s,0.000372s,0.000905,0.003735154
1641991208.151787036s,1641991208.153061822s,1641991208.153063739s,1641991208.152533714s,0.001275s,-0.000530s,0.000372s,0.000902,0.003734501
1641991208.152533714s,1641991208.153847133s,1641991208.153848551s,1641991208.153302686s,0.001313s,-0.000546s,0.000384s,0.00093,0.003733194
1641991208.153302686s,1641991208.154578884s,1641991208.154580987s,1641991208.154031483s,0.001276s,-0.000550s,0.000363s,0.000913,0.003731824
1641991208.154031483s,1641991208.155292126s,1641991208.155293900s,1641991208.154761150s,0.001261s,-0.000533s,0.000364s,0.000897,0.003730088
