T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,OFF_S
1641512163.185714045s,1641512163.187058751s,1641512163.187199038s,1641512163.186041969s,0.001345s,-0.001157s,0.000094s,0.001251s
1641512163.186339372s,1641512163.187682587s,1641512163.187938778s,1641512163.186785684s,0.001343s,-0.001153s,0.000095s,0.001248s
1641512163.187115223s,1641512163.188472215s,1641512163.188611382s,1641512163.187424761s,0.001357s,-0.001187s,0.000085s,0.001272s
1641512163.187727529s,1641512163.189082420s,1641512163.189225331s,1641512163.188046442s,0.001355s,-0.001179s,0.000088s,0.001267s
1641512163.188398273s,1641512163.189685104s,1641512163.189989039s,1641512163.188886409s,0.001287s,-0.001103s,0.000092s,0.001195s
1641512163.189086101s,1641512163.190367053s,1641512163.190580139s,1641512163.189400275s,0.001281s,-0.001180s,0.000050s,0.001230s
1641512163.189708564s,1641512163.191062057s,1641512163.191261224s,1641512163.190144355s,0.001354s,-0.001117s,0.000118s,0.001235s
1641512163.190498530s,1641512163.191851908s,1641512163.192077475s,1641512163.191006562s,0.001353s,-0.001071s,0.000141s,0.001212s
1641512163.191329955s,1641512163.192713056s,1641512163.193090398s,1641512163.192022315s,0.001383s,-0.001068s,0.000157s,0.001226s
1641512163.192364197s,1641512163.193784506s,1641512163.193981305s,1641512163.192870095s,0.001420s,-0.001111s,0.000154s,0.001266s
1641512163.193247968s,1641512163.194659509s,1641512163.194858356s,1641512163.193818450s,0.001411s,-0.001040s,0.000186s,0.001226s
1641512163.194155801s,1641512163.195484497s,1641512163.195676272s,1641512163.194573259s,0.001329s,-0.001103s,0.000113s,0.001216s
1641512163.194876859s,1641512163.196193901s,1641512163.196391244s,1641512163.195294108s,0.001317s,-0.001097s,0.000110s,0.001207s
1641512163.195631720s,1641512163.196980840s,1641512163.197123464s,1641512163.195958290s,0.001349s,-0.001165s,0.000092s,0.001257s
1641512163.196292777s,1641512163.197642661s,1641512163.197782596s,1641512163.196601743s,0.001350s,-0.001181s,0.000084s,0.001265s
1641512163.196938938s,1641512163.198294273s,1641512163.198434464s,1641512163.197343687s,0.001355s,-0.001091s,0.000132s,0.001223s
1641512163.197647287s,1641512163.198995293s,1641512163.199134909s,1641512163.197991514s,0.001348s,-0.001143s,0.000102s,0.001246s
1641512163.198292979s,1641512163.199634458s,1641512163.199881497s,1641512163.198707156s,0.001342s,-0.001174s,0.000084s,0.001258s
1641512163.199028309s,1641512163.200372214s,1641512163.200511061s,1641512163.199361181s,0.001344s,-0.001150s,0.000097s,0.001247s
1641512163.199665719s,1641512163.201015090s,1641512163.201224721s,1641512163.200092708s,0.001349s,-0.001132s,0.000109s,0.001241s
1641512163.200416466s,1641512163.201710383s,1641512163.202067277s,1641512163.200955228s,0.001294s,-0.001112s,0.000091s,0.001203s
1641512163.201186744s,1641512163.202588298s,1641512163.202858888s,1641512163.201781497s,0.001402s,-0.001077s,0.000162s,0.001240s
1641512163.202110307s,1641512163.203463269s,1641512163.203797667s,1641512163.202736571s,0.001353s,-0.001061s,0.000146s,0.001207s
1641512163.203063714s,1641512163.204393280s,1641512163.204742110s,1641512163.203668103s,0.001330s,-0.001074s,0.000128s,0.001202s
1641512163.203988839s,1641512163.205325915s,1641512163.205595609s,1641512163.204530883s,0.001337s,-0.001065s,0.000136s,0.001201s
1641512163.204889954s,1641512163.206298869s,1641512163.206505332s,1641512163.205449758s,0.001409s,-0.001055s,0.000177s,0.001232s
1641512163.205767370s,1641512163.207050193s,1641512163.207355280s,1641512163.206252120s,0.001283s,-0.001103s,0.000090s,0.001193s
1641512163.206570982s,1641512163.207920109s,1641512163.208059948s,1641512163.206885676s,0.001349s,-0.001174s,0.000087s,0.001262s
1641512163.207222611s,1641512163.208571625s,1641512163.208765960s,1641512163.207582880s,0.001349s,-0.001183s,0.000083s,0.001266s
1641512163.207855855s,1641512163.209199302s,1641512163.209340069s,1641512163.208189196s,0.001343s,-0.001151s,0.000096s,0.001247s
1641512163.208456390s,1641512163.209815362s,1641512163.209960769s,1641512163.208863014s,0.001359s,-0.001098s,0.000131s,0.001228s
1641512163.209159687s,1641512163.210508926s,1641512163.210651262s,1641512163.209506257s,0.001349s,-0.001145s,0.000102s,0.001247s
1641512163.209804962s,1641512163.211148603s,1641512163.211391322s,1641512163.210261952s,0.001343s,-0.001129s,0.000107s,0.001236s
1641512163.210593574s,1641512163.211940919s,1641512163.212080342s,1641512163.210980562s,0.001348s,-0.001100s,0.000124s,0.001224s
1641512163.211324685s,1641512163.212677747s,1641512163.212893265s,1641512163.211741777s,0.001353s,-0.001152s,0.000101s,0.001252s
1641512163.212089598s,1641512163.213437454s,1641512163.213638349s,1641512163.212511847s,0.001348s,-0.001127s,0.000111s,0.001237s
1641512163.212800604s,1641512163.214092267s,1641512163.214431017s,1641512163.213315928s,0.001292s,-0.001115s,0.000088s,0.001203s
1641512163.213641352s,1641512163.215016006s,1641512163.215221605s,1641512163.214161468s,0.001374s,-0.001060s,0.000157s,0.001217s
1641512163.214357098s,1641512163.215726594s,1641512163.215911873s,1641512163.214849401s,0.001369s,-0.001062s,0.000154s,0.001216s
1641512163.215046176s,1641512163.216424542s,1641512163.216733628s,1641512163.215668690s,0.001378s,-0.001065s,0.000157s,0.001222s
1641512163.215863435s,1641512163.217228634s,1641512163.217376313s,1641512163.216259902s,0.001365s,-0.001116s,0.000124s,0.001241s
1641512163.216506210s,1641512163.217843926s,1641512163.218026293s,1641512163.216902260s,0.001338s,-0.001124s,0.000107s,0.001231s
1641512163.217172058s,1641512163.218518739s,1641512163.218660082s,1641512163.217545244s,0.001347s,-0.001115s,0.000116s,0.001231s
1641512163.217797802s,1641512163.219141263s,1641512163.219286094s,1641512163.218179842s,0.001343s,-0.001106s,0.000119s,0.001225s
1641512163.218469380s,1641512163.219815404s,1641512163.219955531s,1641512163.218847513s,0.001346s,-0.001108s,0.000119s,0.001227s
1641512163.219135280s,1641512163.220479080s,1641512163.220620135s,1641512163.219518727s,0.001344s,-0.001101s,0.000121s,0.001223s
1641512163.219804879s,1641512163.221150084s,1641512163.221296035s,1641512163.220187909s,0.001345s,-0.001108s,0.000119s,0.001227s
1641512163.220474790s,1641512163.221818625s,1641512163.221962592s,1641512163.220854070s,0.001344s,-0.001109s,0.000118s,0.001226s
1641512163.221143295s,1641512163.222487069s,1641512163.222628060s,1641512163.221497210s,0.001344s,-0.001131s,0.000106s,0.001237s
1641512163.221782789s,1641512163.223131449s,1641512163.223271161s,1641512163.222099932s,0.001349s,-0.001171s,0.000089s,0.001260s
1641512163.222384001s,1641512163.223662967s,1641512163.223997301s,1641512163.222833855s,0.001279s,-0.001163s,0.000058s,0.001221s
1641512163.223122768s,1641512163.224472114s,1641512163.224744433s,1641512163.223605800s,0.001349s,-0.001138s,0.000105s,0.001244s
1641512163.223894452s,1641512163.225234926s,1641512163.225570508s,1641512163.224477174s,0.001341s,-0.001093s,0.000124s,0.001217s
1641512163.224809890s,1641512163.226229608s,1641512163.226449319s,1641512163.225347663s,0.001420s,-0.001101s,0.000159s,0.001261s
1641512163.225636367s,1641512163.226979908s,1641512163.227181059s,1641512163.226103409s,0.001343s,-0.001078s,0.000133s,0.001211s
1641512163.226391332s,1641512163.227759616s,1641512163.227944607s,1641512163.226868635s,0.001368s,-0.001076s,0.000146s,0.001222s
1641512163.227156767s,1641512163.228477852s,1641512163.228762235s,1641512163.227647090s,0.001321s,-0.001115s,0.000103s,0.001218s
1641512163.227936732s,1641512163.229254616s,1641512163.229531062s,1641512163.228486849s,0.001318s,-0.001044s,0.000137s,0.001181s
1641512163.228816075s,1641512163.230224019s,1641512163.230425490s,1641512163.229369265s,0.001408s,-0.001056s,0.000176s,0.001232s
1641512163.229655209s,1641512163.231006158s,1641512163.231148366s,1641512163.230030270s,0.001351s,-0.001118s,0.000116s,0.001235s
1641512163.230315589s,1641512163.231661323s,1641512163.231805962s,1641512163.230699817s,0.001346s,-0.001106s,0.000120s,0.001226s
1641512163.230957583s,1641512163.232309831s,1641512163.232449542s,1641512163.231260975s,0.001352s,-0.001189s,0.000082s,0.001270s
1641512163.231497491s,1641512163.232845732s,1641512163.232986628s,1641512163.231824322s,0.001348s,-0.001162s,0.000093s,0.001255s
1641512163.232113703s,1641512163.233459329s,1641512163.233600000s,1641512163.232418762s,0.001346s,-0.001181s,0.000082s,0.001263s
1641512163.232723457s,1641512163.234071742s,1641512163.234210301s,1641512163.233097476s,0.001348s,-0.001113s,0.000118s,0.001230s
1641512163.233384149s,1641512163.234727162s,1641512163.234867865s,1641512163.233697281s,0.001343s,-0.001171s,0.000086s,0.001257s
1641512163.233918015s,1641512163.235190199s,1641512163.235378134s,1641512163.234259742s,0.001272s,-0.001118s,0.000077s,0.001195s
1641512163.234490008s,1641512163.235837716s,1641512163.235976691s,1641512163.234824390s,0.001348s,-0.001152s,0.000098s,0.001250s
1641512163.235084084s,1641512163.236370865s,1641512163.236626640s,1641512163.235510864s,0.001287s,-0.001116s,0.000085s,0.001201s
1641512163.235763318s,1641512163.237111437s,1641512163.237326700s,1641512163.236152077s,0.001348s,-0.001174s,0.000087s,0.001261s
1641512163.236406823s,1641512163.237759977s,1641512163.237961480s,1641512163.236818186s,0.001353s,-0.001143s,0.000105s,0.001248s
1641512163.237065015s,1641512163.238341190s,1641512163.238682692s,1641512163.237584454s,0.001276s,-0.001098s,0.000089s,0.001187s
1641512163.237857481s,1641512163.239248865s,1641512163.239452096s,1641512163.238349367s,0.001391s,-0.001103s,0.000144s,0.001247s
1641512163.238641509s,1641512163.240021501s,1641512163.240205020s,1641512163.239091520s,0.001380s,-0.001113s,0.000133s,0.001247s
1641512163.239378505s,1641512163.240702073s,1641512163.241017688s,1641512163.239949820s,0.001324s,-0.001068s,0.000128s,0.001196s
1641512163.240233525s,1641512163.241546517s,1641512163.241859731s,1641512163.240732547s,0.001313s,-0.001127s,0.000093s,0.001220s
1641512163.241020522s,1641512163.242335024s,1641512163.242588847s,1641512163.241523502s,0.001315s,-0.001065s,0.000125s,0.001190s
1641512163.241715642s,1641512163.242988237s,1641512163.243194444s,1641512163.242031795s,0.001273s,-0.001163s,0.000055s,0.001218s
1641512163.242268103s,1641512163.243615689s,1641512163.243751881s,1641512163.242592902s,0.001348s,-0.001159s,0.000094s,0.001253s
1641512163.242849418s,1641512163.244193638s,1641512163.244326022s,1641512163.243139633s,0.001344s,-0.001186s,0.000079s,0.001265s
1641512163.243417452s,1641512163.244761635s,1641512163.244910050s,1641512163.243816472s,0.001344s,-0.001094s,0.000125s,0.001219s
1641512163.244102624s,1641512163.245446271s,1641512163.245585599s,1641512163.244486175s,0.001343s,-0.001100s,0.000122s,0.001222s
1641512163.244819568s,1641512163.246163355s,1641512163.246305403s,1641512163.245159575s,0.001344s,-0.001146s,0.000099s,0.001245s
1641512163.245450520s,1641512163.246794168s,1641512163.246933015s,1641512163.245830007s,0.001344s,-0.001103s,0.000120s,0.001223s
1641512163.246115222s,1641512163.247402965s,1641512163.247669235s,1641512163.246559608s,0.001288s,-0.001110s,0.000089s,0.001199s
1641512163.246745341s,1641512163.248069361s,1641512163.248287440s,1641512163.247172226s,0.001324s,-0.001115s,0.000104s,0.001220s
1641512163.247421815s,1641512163.248770861s,1641512163.248974540s,1641512163.247799167s,0.001349s,-0.001175s,0.000087s,0.001262s
1641512163.248038444s,1641512163.249446954s,1641512163.249713992s,1641512163.248638718s,0.001408s,-0.001075s,0.000167s,0.001242s
1641512163.248929349s,1641512163.250277221s,1641512163.250479876s,1641512163.249418840s,0.001348s,-0.001061s,0.000143s,0.001205s
1641512163.249704107s,1641512163.251036353s,1641512163.251294271s,1641512163.250167138s,0.001332s,-0.001127s,0.000103s,0.001230s
1641512163.250409540s,1641512163.251776925s,1641512163.252043995s,1641512163.250946114s,0.001367s,-0.001098s,0.000135s,0.001233s
1641512163.251256226s,1641512163.252585720s,1641512163.252908663s,1641512163.251800769s,0.001329s,-0.001108s,0.000111s,0.001219s
1641512163.252103328s,1641512163.253434868s,1641512163.253706322s,1641512163.252535265s,0.001332s,-0.001171s,0.000080s,0.001251s
1641512163.252860273s,1641512163.254207631s,1641512163.254349711s,1641512163.253169915s,0.001347s,-0.001180s,0.000084s,0.001263s
1641512163.253505861s,1641512163.254853740s,1641512163.254996043s,1641512163.253854150s,0.001348s,-0.001142s,0.000103s,0.001245s
1641512163.254283379s,1641512163.255632072s,1641512163.255775847s,1641512163.254591250s,0.001349s,-0.001185s,0.000082s,0.001267s
1641512163.254833235s,1641512163.256105861s,1641512163.256410083s,1641512163.255255536s,0.001273s,-0.001155s,0.000059s,0.001214s
1641512163.255578304s,1641512163.256923009s,1641512163.257065280s,1641512163.255924979s,0.001345s,-0.001140s,0.000102s,0.001243s
1641512163.256169411s,1641512163.257458078s,1641512163.257676572s,1641512163.256567598s,0.001289s,-0.001109s,0.000090s,0.001199s
1641512163.256918126s,1641512163.258266265s,1641512163.258471672s,1641512163.257299646s,0.001348s,-0.001172s,0.000088s,0.001260s
1641512163.257597986s,1641512163.258933302s,1641512163.259140660s,1641512163.258047215s,0.001335s,-0.001094s,0.000121s,0.001215s
1641512163.258345138s,1641512163.259707121s,1641512163.259922992s,1641512163.258881349s,0.001362s,-0.001042s,0.000160s,0.001202s
1641512163.259207137s,1641512163.260576813s,1641512163.260886251s,1641512163.259834756s,0.001369s,-0.001051s,0.000159s,0.001210s
1641512163.260154919s,1641512163.261575367s,1641512163.261747718s,1641512163.260658889s,0.001420s,-0.001089s,0.000166s,0.001255s
1641512163.260920927s,1641512163.262293315s,1641512163.262441538s,1641512163.261393854s,0.001372s,-0.001048s,0.000162s,0.001210s
1641512163.261697507s,1641512163.263018303s,1641512163.263285054s,1641512163.262201164s,0.001321s,-0.001084s,0.000118s,0.001202s
1641512163.262524245s,1641512163.263886971s,1641512163.264028762s,1641512163.262913524s,0.001363s,-0.001115s,0.000124s,0.001239s
1641512163.263237074s,1641512163.264581047s,1641512163.264781526s,1641512163.263672240s,0.001344s,-0.001109s,0.000117s,0.001227s
1641512163.264018758s,1641512163.265366834s,1641512163.265512306s,1641512163.264342984s,0.001348s,-0.001169s,0.000089s,0.001259s
1641512163.264584240s,1641512163.265932335s,1641512163.266196782s,1641512163.265106856s,0.001348s,-0.001090s,0.000129s,0.001219s
1641512163.265303371s,1641512163.266580972s,1641512163.266767115s,1641512163.265637181s,0.001278s,-0.001130s,0.000074s,0.001204s
1641512163.265862811s,1641512163.267211016s,1641512163.267350472s,1641512163.266181985s,0.001348s,-0.001168s,0.000090s,0.001258s
1641512163.266386260s,1641512163.267664934s,1641512163.267852293s,1641512163.266707726s,0.001279s,-0.001145s,0.000067s,0.001212s
1641512163.266934710s,1641512163.268281923s,1641512163.268421026s,1641512163.267255187s,0.001347s,-0.001166s,0.000091s,0.001257s
1641512163.267503369s,1641512163.268846719s,1641512163.269051326s,1641512163.267904368s,0.001343s,-0.001147s,0.000098s,0.001245s
1641512163.268151197s,1641512163.269428988s,1641512163.269642395s,1641512163.268515736s,0.001278s,-0.001127s,0.000076s,0.001202s
1641512163.268855327s,1641512163.270149912s,1641512163.270542262s,1641512163.269461123s,0.001295s,-0.001081s,0.000107s,0.001188s
1641512163.269799828s,1641512163.271137875s,1641512163.271466993s,1641512163.270415624s,0.001338s,-0.001051s,0.000143s,0.001195s
1641512163.270715787s,1641512163.272043758s,1641512163.272321388s,1641512163.271244913s,0.001328s,-0.001076s,0.000126s,0.001202s
1641512163.271577004s,1641512163.272903753s,1641512163.273172584s,1641512163.272092485s,0.001327s,-0.001080s,0.000123s,0.001203s
1641512163.272401555s,1641512163.273810820s,1641512163.274012867s,1641512163.272943755s,0.001409s,-0.001069s,0.000170s,0.001239s
1641512163.273284075s,1641512163.274665184s,1641512163.274809983s,1641512163.273668250s,0.001381s,-0.001142s,0.000120s,0.001261s
1641512163.273973674s,1641512163.275318652s,1641512163.275459131s,1641512163.274357381s,0.001345s,-0.001102s,0.000122s,0.001223s
1641512163.274780411s,1641512163.276129912s,1641512163.276272503s,1641512163.275112658s,0.001349s,-0.001160s,0.000095s,0.001255s
1641512163.275374748s,1641512163.276718292s,1641512163.276866964s,1641512163.275747256s,0.001344s,-0.001120s,0.000112s,0.001232s
1641512163.276072733s,1641512163.277417137s,1641512163.277560208s,1641512163.276396803s,0.001344s,-0.001163s,0.000090s,0.001254s
1641512163.276784780s,1641512163.278133261s,1641512163.278274124s,1641512163.277163851s,0.001348s,-0.001110s,0.000119s,0.001229s
1641512163.277509484s,1641512163.278862345s,1641512163.279002088s,1641512163.277836315s,0.001353s,-0.001166s,0.000093s,0.001259s
1641512163.278159447s,1641512163.279508421s,1641512163.279647588s,1641512163.278501017s,0.001349s,-0.001147s,0.000101s,0.001248s
1641512163.278799306s,1641512163.280147234s,1641512163.280408192s,1641512163.279265462s,0.001348s,-0.001143s,0.000103s,0.001245s
1641512163.279536406s,1641512163.280829150s,1641512163.281060029s,1641512163.279895893s,0.001293s,-0.001164s,0.000064s,0.001228s
1641512163.280188140s,1641512163.281462298s,1641512163.281675929s,1641512163.280517991s,0.001274s,-0.001158s,0.000058s,0.001216s
1641512163.280857478s,1641512163.282252470s,1641512163.282518357s,1641512163.281445616s,0.001395s,-0.001073s,0.000161s,0.001234s
1641512163.281774790s,1641512163.283120081s,1641512163.283503631s,1641512163.282451681s,0.001345s,-0.001052s,0.000147s,0.001199s
1641512163.282783980s,1641512163.284111276s,1641512163.284449514s,1641512163.283367119s,0.001327s,-0.001082s,0.000122s,0.001205s
1641512163.283688897s,1641512163.285054183s,1641512163.285303333s,1641512163.284212763s,0.001365s,-0.001091s,0.000137s,0.001228s
1641512163.284541729s,1641512163.285953634s,1641512163.286162145s,1641512163.285104815s,0.001412s,-0.001057s,0.000177s,0.001235s
1641512163.285359300s,1641512163.286721854s,1641512163.286867133s,1641512163.285819779s,0.001363s,-0.001047s,0.000158s,0.001205s
1641512163.286146401s,1641512163.287457722s,1641512163.287727128s,1641512163.286679226s,0.001311s,-0.001048s,0.000132s,0.001180s
1641512163.286981889s,1641512163.288244885s,1641512163.288568020s,1641512163.287468411s,0.001263s,-0.001100s,0.000082s,0.001181s
1641512163.287797533s,1641512163.289142096s,1641512163.289286480s,1641512163.288113373s,0.001345s,-0.001173s,0.000086s,0.001259s
1641512163.288439423s,1641512163.289783277s,1641512163.289922700s,1641512163.288771982s,0.001344s,-0.001151s,0.000096s,0.001247s
1641512163.289076364s,1641512163.290420617s,1641512163.290666472s,1641512163.289554240s,0.001344s,-0.001112s,0.000116s,0.001228s
1641512163.289878206s,1641512163.291227621s,1641512163.291369988s,1641512163.290207432s,0.001349s,-0.001163s,0.000093s,0.001256s
1641512163.290535825s,1641512163.291884129s,1641512163.292024961s,1641512163.290854843s,0.001348s,-0.001170s,0.000089s,0.001259s
1641512163.291175058s,1641512163.292529854s,1641512163.292808892s,1641512163.291701164s,0.001355s,-0.001108s,0.000123s,0.001231s
1641512163.292002161s,1641512163.293286362s,1641512163.293654232s,1641512163.292548684s,0.001284s,-0.001106s,0.000089s,0.001195s
1641512163.292873170s,1641512163.294269236s,1641512163.294479507s,1641512163.293412974s,0.001396s,-0.001067s,0.000165s,0.001231s
1641512163.293734440s,1641512163.295124528s,1641512163.295319535s,1641512163.294246795s,0.001390s,-0.001073s,0.000159s,0.001231s
1641512163.294567688s,1641512163.295883564s,1641512163.296165386s,1641512163.295093690s,0.001316s,-0.001072s,0.000122s,0.001194s
1641512163.295412135s,1641512163.296735111s,1641512163.297043941s,1641512163.295961366s,0.001323s,-0.001083s,0.000120s,0.001203s
1641512163.296284030s,1641512163.297599810s,1641512163.297843745s,1641512163.296702216s,0.001316s,-0.001142s,0.000087s,0.001229s
1641512163.297040870s,1641512163.298395742s,1641512163.298538429s,1641512163.297425827s,0.001355s,-0.001113s,0.000121s,0.001234s
1641512163.297690468s,1641512163.299033722s,1641512163.299173466s,1641512163.298056831s,0.001343s,-0.001117s,0.000113s,0.001230s
1641512163.298316941s,1641512163.299663991s,1641512163.299804854s,1641512163.298718356s,0.001347s,-0.001086s,0.000130s,0.001217s
1641512163.299029613s,1641512163.300380979s,1641512163.300520978s,1641512163.299341808s,0.001351s,-0.001179s,0.000086s,0.001265s
1641512163.299631398s,1641512163.300979952s,1641512163.301121071s,1641512163.299995729s,0.001348s,-0.001125s,0.000112s,0.001237s
1641512163.300236360s,1641512163.301585388s,1641512163.301728140s,1641512163.300637150s,0.001349s,-0.001091s,0.000129s,0.001220s
1641512163.300968408s,1641512163.302316584s,1641512163.302458184s,1641512163.301281019s,0.001348s,-0.001177s,0.000085s,0.001263s
1641512163.301611808s,1641512163.302960517s,1641512163.303100196s,1641512163.301940618s,0.001349s,-0.001159s,0.000095s,0.001254s
1641512163.302212864s,1641512163.303560226s,1641512163.303705057s,1641512163.302546413s,0.001347s,-0.001158s,0.000094s,0.001253s
1641512163.302834492s,1641512163.304106431s,1641512163.304452541s,1641512163.303309868s,0.001272s,-0.001143s,0.000065s,0.001207s
1641512163.303630240s,1641512163.304989562s,1641512163.305189657s,1641512163.304009832s,0.001359s,-0.001180s,0.000090s,0.001269s
1641512163.304329423s,1641512163.305672118s,1641512163.306006228s,1641512163.304877404s,0.001343s,-0.001129s,0.000107s,0.001236s
1641512163.305216370s,1641512163.306553265s,1641512163.306897679s,1641512163.305842947s,0.001337s,-0.001055s,0.000141s,0.001196s
1641512163.306180142s,1641512163.307523884s,1641512163.307795914s,1641512163.306679529s,0.001344s,-0.001117s,0.000114s,0.001230s
1641512163.306998442s,1641512163.308308264s,1641512163.308595046s,1641512163.307508558s,0.001310s,-0.001086s,0.000112s,0.001198s
1641512163.307830909s,1641512163.309173859s,1641512163.309439137s,1641512163.308395037s,0.001343s,-0.001044s,0.000149s,0.001194s
1641512163.308814890s,1641512163.310184157s,1641512163.310433116s,1641512163.309255577s,0.001369s,-0.001178s,0.000096s,0.001273s
1641512163.309544334s,1641512163.310897305s,1641512163.311091288s,1641512163.309986271s,0.001353s,-0.001105s,0.000124s,0.001229s
1641512163.310331227s,1641512163.311755893s,1641512163.312027091s,1641512163.310949262s,0.001425s,-0.001078s,0.000173s,0.001251s
1641512163.311187549s,1641512163.312572368s,1641512163.313021774s,1641512163.311963712s,0.001385s,-0.001058s,0.000164s,0.001221s
1641512163.312268928s,1641512163.313652074s,1641512163.313845001s,1641512163.312799304s,0.001383s,-0.001046s,0.000169s,0.001214s
1641512163.313110926s,1641512163.314426758s,1641512163.314704421s,1641512163.313639532s,0.001316s,-0.001065s,0.000126s,0.001190s
1641512163.313966206s,1641512163.315378817s,1641512163.315580576s,1641512163.314481895s,0.001413s,-0.001099s,0.000157s,0.001256s
1641512163.314800340s,1641512163.316164605s,1641512163.316349372s,1641512163.315255038s,0.001364s,-0.001094s,0.000135s,0.001229s
1641512163.315504210s,1641512163.316795641s,1641512163.317010904s,1641512163.315882083s,0.001291s,-0.001129s,0.000081s,0.001210s
1641512163.316141881s,1641512163.317493877s,1641512163.317705716s,1641512163.316670122s,0.001352s,-0.001035s,0.000158s,0.001194s
1641512163.316869033s,1641512163.318289841s,1641512163.318492208s,1641512163.317417014s,0.001421s,-0.001075s,0.000173s,0.001248s
1641512163.317641863s,1641512163.319014541s,1641512163.319227212s,1641512163.318145990s,0.001373s,-0.001081s,0.000146s,0.001227s
1641512163.318371932s,1641512163.319774537s,1641512163.319953064s,1641512163.318877100s,0.001403s,-0.001076s,0.000163s,0.001239s
1641512163.319106637s,1641512163.320478373s,1641512163.320624260s,1641512163.319577324s,0.001372s,-0.001047s,0.000162s,0.001209s
1641512163.319789517s,1641512163.321149249s,1641512163.321307777s,1641512163.320221714s,0.001360s,-0.001086s,0.000137s,0.001223s
1641512163.320436667s,1641512163.321781310s,1641512163.321930429s,1641512163.320842197s,0.001345s,-0.001088s,0.000128s,0.001216s
1641512163.321066473s,1641512163.322421306s,1641512163.322552090s,1641512163.321403825s,0.001355s,-0.001148s,0.000103s,0.001252s
1641512163.321625549s,1641512163.322912056s,1641512163.323093847s,1641512163.321957587s,0.001287s,-0.001136s,0.000075s,0.001211s
1641512163.322171238s,1641512163.323519348s,1641512163.323663828s,1641512163.322509579s,0.001348s,-0.001154s,0.000097s,0.001251s
1641512163.322721928s,1641512163.323989138s,1641512163.324182289s,1641512163.323054904s,0.001267s,-0.001127s,0.000070s,0.001197s
1641512163.323284753s,1641512163.324633838s,1641512163.324783342s,1641512163.323706430s,0.001349s,-0.001077s,0.000136s,0.001213s
1641512163.324007322s,1641512163.325352970s,1641512163.325492778s,1641512163.324321600s,0.001346s,-0.001171s,0.000087s,0.001258s
1641512163.324637493s,1641512163.325984743s,1641512163.326130086s,1641512163.324985001s,0.001347s,-0.001145s,0.000101s,0.001246s
1641512163.325232871s,1641512163.326580708s,1641512163.326722019s,1641512163.325555795s,0.001348s,-0.001166s,0.000091s,0.001257s
1641512163.325794186s,1641512163.327061153s,1641512163.327258432s,1641512163.326086797s,0.001267s,-0.001172s,0.000048s,0.001219s
1641512163.326333521s,1641512163.327681246s,1641512163.327821725s,1641512163.326658529s,0.001348s,-0.001163s,0.000092s,0.001256s
1641512163.326903170s,1641512163.328250235s,1641512163.328390266s,1641512163.327202968s,0.001347s,-0.001187s,0.000080s,0.001267s
1641512163.327403233s,1641512163.328751320s,1641512163.328893143s,1641512163.327768346s,0.001348s,-0.001125s,0.000112s,0.001236s
1641512163.328017622s,1641512163.329305013s,1641512163.329550963s,1641512163.328436746s,0.001287s,-0.001114s,0.000087s,0.001201s
1641512163.328658418s,1641512163.329968529s,1641512163.330111664s,1641512163.328980405s,0.001310s,-0.001131s,0.000089s,0.001221s
1641512163.329225150s,1641512163.330573006s,1641512163.330704493s,1641512163.329541772s,0.001348s,-0.001163s,0.000093s,0.001255s
1641512163.329815216s,1641512163.331163147s,1641512163.331309802s,1641512163.330140327s,0.001348s,-0.001169s,0.000089s,0.001259s
1641512163.330418563s,1641512163.331766919s,1641512163.331905895s,1641512163.330732424s,0.001348s,-0.001173s,0.000087s,0.001261s
1641512163.331020868s,1641512163.332370116s,1641512163.332509955s,1641512163.331408690s,0.001349s,-0.001101s,0.000124s,0.001225s
1641512163.331700988s,1641512163.333044032s,1641512163.333183712s,1641512163.332058705s,0.001343s,-0.001125s,0.000109s,0.001234s
1641512163.332351159s,1641512163.333694845s,1641512163.333837948s,1641512163.332707261s,0.001344s,-0.001131s,0.000106s,0.001237s
1641512163.333007997s,1641512163.334356921s,1641512163.334495960s,1641512163.333395402s,0.001349s,-0.001101s,0.000124s,0.001225s
1641512163.333698794s,1641512163.335046645s,1641512163.335185365s,1641512163.334040833s,0.001348s,-0.001144s,0.000102s,0.001246s
1641512163.334342247s,1641512163.335690418s,1641512163.335830097s,1641512163.334692567s,0.001348s,-0.001138s,0.000105s,0.001243s
1641512163.334992105s,1641512163.336339726s,1641512163.336478126s,1641512163.335311956s,0.001348s,-0.001166s,0.000091s,0.001257s
1641512163.335622380s,1641512163.336908043s,1641512163.337136202s,1641512163.335976086s,0.001286s,-0.001160s,0.000063s,0.001223s
1641512163.336277760s,1641512163.337557288s,1641512163.337771494s,1641512163.336592350s,0.001280s,-0.001179s,0.000050s,0.001229s
1641512163.336913347s,1641512163.338229380s,1641512163.338563522s,1641512163.337485183s,0.001316s,-0.001078s,0.000119s,0.001197s
1641512163.337780138s,1641512163.339160255s,1641512163.339408190s,1641512163.338304733s,0.001380s,-0.001103s,0.000138s,0.001242s
1641512163.338591094s,1641512163.339960283s,1641512163.340143802s,1641512163.339067511s,0.001369s,-0.001076s,0.000146s,0.001223s
1641512163.339353976s,1641512163.340683799s,1641512163.340987605s,1641512163.339928781s,0.001330s,-0.001059s,0.000135s,0.001194s
