T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,OFF_S
1641512159.502912103s,1641512159.504268885s,1641512159.504681683s,1641512159.503519929s,0.001357s,-0.001162s,0.000098s,0.001259s
1641512159.503921084s,1641512159.505287887s,1641512159.505600686s,1641512159.504508546s,0.001367s,-0.001092s,0.000137s,0.001230s
1641512159.505089444s,1641512159.506360713s,1641512159.507368164s,1641512159.506250669s,0.001271s,-0.001117s,0.000077s,0.001194s
1641512159.506610365s,1641512159.507889601s,1641512159.508320031s,1641512159.507186420s,0.001279s,-0.001134s,0.000073s,0.001206s
1641512159.507726380s,1641512159.509080187s,1641512159.509475672s,1641512159.508306237s,0.001354s,-0.001169s,0.000092s,0.001262s
1641512159.509175424s,1641512159.510533939s,1641512159.510860369s,1641512159.509729863s,0.001359s,-0.001131s,0.000114s,0.001245s
1641512159.510264459s,1641512159.511633357s,1641512159.511946891s,1641512159.510861973s,0.001369s,-0.001085s,0.000142s,0.001227s
1641512159.513434219s,1641512159.514792763s,1641512159.515381048s,1641512159.514298927s,0.001359s,-0.001082s,0.000138s,0.001220s
1641512159.515185353s,1641512159.516543538s,1641512159.517000527s,1641512159.515811357s,0.001358s,-0.001189s,0.000085s,0.001274s
1641512159.516547051s,1641512159.517909546s,1641512159.518594822s,1641512159.517408581s,0.001363s,-0.001186s,0.000088s,0.001274s
1641512159.518254278s,1641512159.519551073s,1641512159.520125502s,1641512159.519032577s,0.001297s,-0.001093s,0.000102s,0.001195s
1641512159.519628476s,1641512159.520986233s,1641512159.521312632s,1641512159.520726834s,0.001358s,-0.000586s,0.000386s,0.000972s
1641512159.521297160s,1641512159.522660720s,1641512159.522988398s,1641512159.521861652s,0.001364s,-0.001127s,0.000118s,0.001245s
1641512159.522441561s,1641512159.523797578s,1641512159.524194600s,1641512159.523096316s,0.001356s,-0.001098s,0.000129s,0.001227s
1641512159.523425178s,1641512159.524805572s,1641512159.525122883s,1641512159.524014358s,0.001380s,-0.001108s,0.000136s,0.001244s
1641512159.524437180s,1641512159.525791775s,1641512159.526082749s,1641512159.524990057s,0.001355s,-0.001093s,0.000131s,0.001224s
1641512159.525620384s,1641512159.526976569s,1641512159.527363030s,1641512159.526231127s,0.001356s,-0.001132s,0.000112s,0.001244s
1641512159.526799317s,1641512159.528154866s,1641512159.528523408s,1641512159.527384487s,0.001356s,-0.001139s,0.000108s,0.001247s
1641512159.527761162s,1641512159.529033709s,1641512159.529433867s,1641512159.528244611s,0.001272s,-0.001189s,0.000041s,0.001231s
1641512159.528577587s,1641512159.529929128s,1641512159.530315750s,1641512159.529217394s,0.001352s,-0.001098s,0.000127s,0.001225s
1641512159.529607351s,1641512159.531049634s,1641512159.531525248s,1641512159.530401848s,0.001442s,-0.001123s,0.000160s,0.001283s
1641512159.530931183s,1641512159.532367291s,1641512159.533054039s,1641512159.532236526s,0.001436s,-0.000818s,0.000309s,0.001127s
1641512159.533104879s,1641512159.534530799s,1641512159.534929901s,1641512159.533808072s,0.001426s,-0.001122s,0.000152s,0.001274s
1641512159.534280947s,1641512159.535708457s,1641512159.536091975s,1641512159.534995287s,0.001427s,-0.001097s,0.000165s,0.001262s
1641512159.535291231s,1641512159.536637828s,1641512159.537209889s,1641512159.536141719s,0.001347s,-0.001068s,0.000139s,0.001207s
1641512159.536719441s,1641512159.538146363s,1641512159.538723448s,1641512159.537640868s,0.001427s,-0.001083s,0.000172s,0.001255s
1641512159.538233121s,1641512159.539596947s,1641512159.540198704s,1641512159.539117569s,0.001364s,-0.001081s,0.000141s,0.001223s
1641512159.539716697s,1641512159.541151947s,1641512159.541672808s,1641512159.540597394s,0.001435s,-0.001075s,0.000180s,0.001255s
1641512159.541040946s,1641512159.542464580s,1641512159.542929601s,1641512159.541851121s,0.001424s,-0.001079s,0.000172s,0.001251s
1641512159.542312121s,1641512159.543734301s,1641512159.544139579s,1641512159.543091098s,0.001422s,-0.001049s,0.000187s,0.001235s
1641512159.543412303s,1641512159.544740471s,1641512159.545320180s,1641512159.544273989s,0.001328s,-0.001046s,0.000141s,0.001187s
1641512159.544552485s,1641512159.545905169s,1641512159.546464302s,1641512159.545404432s,0.001353s,-0.001060s,0.000146s,0.001206s
1641512159.545687459s,1641512159.547079563s,1641512159.547648679s,1641512159.546524197s,0.001392s,-0.001124s,0.000134s,0.001258s
1641512159.546796964s,1641512159.548168677s,1641512159.548801921s,1641512159.547742350s,0.001372s,-0.001060s,0.000156s,0.001216s
1641512159.548021315s,1641512159.549428062s,1641512159.549943675s,1641512159.548865449s,0.001407s,-0.001078s,0.000164s,0.001242s
1641512159.549139465s,1641512159.550515448s,1641512159.550988085s,1641512159.549957505s,0.001376s,-0.001031s,0.000173s,0.001203s
