T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641992398.863051143s,1641992398.863552589s,1641992398.863554771s,1641992398.863839799s,0.000501s,0.000285s,0.000393s,0.000108,0.002998324
1641992398.863839799s,1641992398.864287371s,1641992398.864290018s,1641992398.864583267s,0.000448s,0.000293s,0.000370s,0.000077,0.002995284
1641992398.864583267s,1641992398.865014247s,1641992398.865098761s,1641992398.865419881s,0.000431s,0.000321s,0.000376s,0.000055,0.003007489
1641992398.865419881s,1641992398.865867150s,1641992398.865943897s,1641992398.866253881s,0.000447s,0.000310s,0.000379s,0.000069,0.003038385
1641992398.866253881s,1641992398.866731569s,1641992398.866757860s,1641992398.867073275s,0.000478s,0.000315s,0.000397s,0.000081,0.003036725
1641992398.867073275s,1641992398.867517208s,1641992398.867554050s,1641992398.867840071s,0.000444s,0.000286s,0.000365s,0.000079,0.003047985
1641992398.867840071s,1641992398.868296675s,1641992398.868318331s,1641992398.868632403s,0.000457s,0.000314s,0.000385s,0.000071,0.003036836
1641992398.868632403s,1641992398.869136449s,1641992398.869156792s,1641992398.869445299s,0.000504s,0.000288s,0.000396s,0.000108,0.003068617
1641992398.869445299s,1641992398.869906501s,1641992398.869924211s,1641992398.870242931s,0.000461s,0.000319s,0.000390s,0.000071,0.003064191
1641992398.870242931s,1641992398.870720999s,1641992398.870740224s,1641992398.871052673s,0.000478s,0.000313s,0.000395s,0.000083,0.00306076
1641992398.871052673s,1641992398.871519879s,1641992398.871538638s,1641992398.871850926s,0.000467s,0.000312s,0.000390s,0.000077,0.003056569
1641992398.871850926s,1641992398.872327458s,1641992398.872384008s,1641992398.872709272s,0.000477s,0.000325s,0.000401s,0.000076,0.003051803
1641992398.872709272s,1641992398.873165861s,1641992398.873199813s,1641992398.873480782s,0.000457s,0.000281s,0.000369s,0.000088,0.003048348
1641992398.873480782s,1641992398.873893716s,1641992398.873914300s,1641992398.874200525s,0.000413s,0.000286s,0.000350s,0.000063,0.003043379
1641992398.874200525s,1641992398.874632066s,1641992398.874688289s,1641992398.875007702s,0.000432s,0.000319s,0.000375s,0.000056,0.003039738
1641992398.875007702s,1641992398.875460716s,1641992398.875498085s,1641992398.875806710s,0.000453s,0.000309s,0.000381s,0.000072,0.003036291
1641992398.875806710s,1641992398.876260914s,1641992398.876284935s,1641992398.876580788s,0.000454s,0.000296s,0.000375s,0.000079,0.003045482
1641992398.876580788s,1641992398.877002900s,1641992398.877035550s,1641992398.877387604s,0.000422s,0.000352s,0.000387s,0.000035,0.003041242
1641992398.877387604s,1641992398.877846657s,1641992398.877848809s,1641992398.878147587s,0.000459s,0.000299s,0.000379s,0.00008,0.003038567
1641992398.878147587s,1641992398.878565803s,1641992398.878588085s,1641992398.878876372s,0.000418s,0.000288s,0.000353s,0.000065,0.003029499
1641992398.878876372s,1641992398.879332567s,1641992398.879403745s,1641992398.879697853s,0.000456s,0.000294s,0.000375s,0.000081,0.003026359
1641992398.879697853s,1641992398.880198808s,1641992398.880242330s,1641992398.880577684s,0.000501s,0.000335s,0.000418s,0.000083,0.003023324
1641992398.880577684s,1641992398.881003431s,1641992398.881023304s,1641992398.881415760s,0.000426s,0.000392s,0.000409s,0.000017,0.003036781
1641992398.881415760s,1641992398.881871772s,1641992398.881907110s,1641992398.882227973s,0.000456s,0.000321s,0.000388s,0.000068,0.003031487
1641992398.882227973s,1641992398.882655918s,1641992398.882690043s,1641992398.882993489s,0.000428s,0.000304s,0.000366s,0.000062,0.003029645
1641992398.882993489s,1641992398.883447718s,1641992398.883479686s,1641992398.884008854s,0.000454s,0.000529s,0.000492s,-0.000038,0.00302831
1641992398.884008854s,1641992398.884457506s,1641992398.884493202s,1641992398.884811916s,0.000449s,0.000319s,0.000384s,0.000065,0.003026005
1641992398.884811916s,1641992398.885311927s,1641992398.885348513s,1641992398.885672810s,0.000500s,0.000324s,0.000412s,0.000088,0.003024842
1641992398.885672810s,1641992398.886120737s,1641992398.886158107s,1641992398.886519590s,0.000448s,0.000362s,0.000405s,0.000043,0.00302377
1641992398.886519590s,1641992398.886977041s,1641992398.887003027s,1641992398.887299126s,0.000457s,0.000296s,0.000377s,0.000081,0.003022151
1641992398.887299126s,1641992398.887754533s,1641992398.887790127s,1641992398.888116153s,0.000455s,0.000326s,0.000391s,0.000065,0.00301913
1641992398.888116153s,1641992398.888554233s,1641992398.888575625s,1641992398.888973323s,0.000438s,0.000398s,0.000418s,0.00002,0.003015933
1641992398.888973323s,1641992398.889502651s,1641992398.889524167s,1641992398.889874944s,0.000530s,0.000351s,0.000440s,0.000089,0.003012535
1641992398.889874944s,1641992398.890331263s,1641992398.890350873s,1641992398.890667221s,0.000456s,0.000316s,0.000386s,0.00007,0.003024732
1641992398.890667221s,1641992398.891169301s,1641992398.891225712s,1641992398.891544082s,0.000502s,0.000318s,0.000410s,0.000092,0.003020618
1641992398.891544082s,1641992398.892036532s,1641992398.892076053s,1641992398.892385214s,0.000492s,0.000309s,0.000401s,0.000092,0.003018408
1641992398.892385214s,1641992398.892835659s,1641992398.892873937s,1641992398.893202870s,0.000450s,0.000329s,0.000390s,0.000061,0.003040081
1641992398.893202870s,1641992398.893678437s,1641992398.893698873s,1641992398.893991625s,0.000476s,0.000293s,0.000384s,0.000091,0.003047374
1641992398.893991625s,1641992398.894450112s,1641992398.894488363s,1641992398.894803764s,0.000458s,0.000315s,0.000387s,0.000072,0.003043669
1641992398.894803764s,1641992398.895294280s,1641992398.895354965s,1641992398.895689646s,0.000490s,0.000335s,0.000413s,0.000078,0.00304089
1641992398.895689646s,1641992398.896157751s,1641992398.896179487s,1641992398.896550040s,0.000468s,0.000371s,0.000419s,0.000049,0.003039074
1641992398.896550040s,1641992398.897028585s,1641992398.897049123s,1641992398.897367037s,0.000479s,0.000318s,0.000398s,0.00008,0.003036931
1641992398.897367037s,1641992398.897852138s,1641992398.897873615s,1641992398.898189694s,0.000485s,0.000316s,0.000401s,0.000085,0.003035368
1641992398.898189694s,1641992398.898629864s,1641992398.898675617s,1641992398.899064663s,0.000440s,0.000389s,0.000415s,0.000026,0.003033635
1641992398.899064663s,1641992398.899533720s,1641992398.899555382s,1641992398.899884524s,0.000469s,0.000329s,0.000399s,0.00007,0.003030581
