T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641990854.162634580s,1641990854.152904332s,1641990854.152924453s,1641990854.163551101s,-0.009730s,0.010627s,0.000448s,-0.010178,-0.006955858
1641990854.163551101s,1641990854.153805350s,1641990854.153815187s,1641990854.164256300s,-0.009746s,0.010441s,0.000348s,-0.010093,-0.006959131
1641990854.164256300s,1641990854.154500683s,1641990854.154503011s,1641990854.164964941s,-0.009756s,0.010462s,0.000353s,-0.010109,-0.006962182
1641990854.164964941s,1641990854.155216194s,1641990854.155236679s,1641990854.165715817s,-0.009749s,0.010479s,0.000365s,-0.010114,-0.006966174
1641990854.165715817s,1641990854.155948923s,1641990854.155977137s,1641990854.166443377s,-0.009767s,0.010466s,0.000350s,-0.010117,-0.006969121
1641990854.166443377s,1641990854.156694732s,1641990854.156696765s,1641990854.167161160s,-0.009749s,0.010464s,0.000358s,-0.010107,-0.006972647
1641990854.167161160s,1641990854.157431313s,1641990854.157433244s,1641990854.167895579s,-0.009730s,0.010462s,0.000366s,-0.010096,-0.006975725
1641990854.167895579s,1641990854.158167042s,1641990854.158169374s,1641990854.168600235s,-0.009728s,0.010431s,0.000351s,-0.01008,-0.006978366
1641990854.168600235s,1641990854.158857456s,1641990854.158859550s,1641990854.169362379s,-0.009743s,0.010503s,0.000380s,-0.010123,-0.006981795
1641990854.169362379s,1641990854.159609991s,1641990854.159619714s,1641990854.170235202s,-0.009752s,0.010615s,0.000432s,-0.010184,-0.006985564
1641990854.170235202s,1641990854.160510909s,1641990854.160535832s,1641990854.171005070s,-0.009724s,0.010469s,0.000373s,-0.010097,-0.006988858
1641990854.171005070s,1641990854.161271922s,1641990854.161312784s,1641990854.171924868s,-0.009733s,0.010612s,0.000439s,-0.010173,-0.006991512
1641990854.171924868s,1641990854.162187610s,1641990854.162205430s,1641990854.172671762s,-0.009737s,0.010466s,0.000365s,-0.010102,-0.00699511
1641990854.172671762s,1641990854.162936572s,1641990854.162960930s,1641990854.173498219s,-0.009735s,0.010537s,0.000401s,-0.010136,-0.00699682
1641990854.173498219s,1641990854.163744198s,1641990854.163766121s,1641990854.176974891s,-0.009754s,0.013209s,0.001727s,-0.011481,-0.006999082
1641990854.176974891s,1641990854.167229764s,1641990854.167247735s,1641990854.177701110s,-0.009745s,0.010453s,0.000354s,-0.010099,-0.007000898
1641990854.177701110s,1641990854.168070267s,1641990854.168090188s,1641990854.178529113s,-0.009631s,0.010439s,0.000404s,-0.010035,-0.007003368
1641990854.178529113s,1641990854.168777196s,1641990854.168799231s,1641990854.179234956s,-0.009752s,0.010436s,0.000342s,-0.010094,-0.007005246
1641990854.179234956s,1641990854.169507013s,1641990854.169526572s,1641990854.179960545s,-0.009728s,0.010434s,0.000353s,-0.010081,-0.007007142
1641990854.179960545s,1641990854.170220427s,1641990854.170238854s,1641990854.180874605s,-0.009740s,0.010636s,0.000448s,-0.010188,-0.007007916
1641990854.180874605s,1641990854.171120280s,1641990854.171139508s,1641990854.181580813s,-0.009754s,0.010441s,0.000343s,-0.010098,-0.00700898
1641990854.181580813s,1641990854.171822995s,1641990854.171843961s,1641990854.182314564s,-0.009758s,0.010471s,0.000356s,-0.010114,-0.00701236
1641990854.182314564s,1641990854.172595798s,1641990854.172619205s,1641990854.183138593s,-0.009719s,0.010520s,0.000400s,-0.010119,-0.007015353
