T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,OFF_S
1641515163.330798827s,1641515163.341817120s,1641515163.342312126s,1641515163.331703588s,0.011018s,-0.010608s,0.000205s,0.010813s
1641515163.332153859s,1641515163.343187418s,1641515163.343609400s,1641515163.332920491s,0.011034s,-0.010689s,0.000172s,0.010861s
1641515163.333878430s,1641515163.344820051s,1641515163.345380337s,1641515163.335506489s,0.010942s,-0.009874s,0.000534s,0.010408s
1641515163.336513023s,1641515163.347540616s,1641515163.347907718s,1641515163.337364397s,0.011028s,-0.010543s,0.000242s,0.010785s
1641515163.337814043s,1641515163.348837378s,1641515163.349229441s,1641515163.338529998s,0.011023s,-0.010699s,0.000162s,0.010861s
1641515163.339227774s,1641515163.350260604s,1641515163.350777978s,1641515163.340074617s,0.011033s,-0.010703s,0.000165s,0.010868s
1641515163.340387489s,1641515163.351358264s,1641515163.351855030s,1641515163.341128809s,0.010971s,-0.010726s,0.000122s,0.010848s
1641515163.341525589s,1641515163.352473555s,1641515163.352947697s,1641515163.342284356s,0.010948s,-0.010663s,0.000142s,0.010806s
1641515163.342685303s,1641515163.353642990s,1641515163.354147372s,1641515163.343455634s,0.010958s,-0.010692s,0.000133s,0.010825s
1641515163.343867519s,1641515163.354810601s,1641515163.355408263s,1641515163.344741810s,0.010943s,-0.010666s,0.000138s,0.010805s
1641515163.345163851s,1641515163.356107076s,1641515163.356678242s,1641515163.346045330s,0.010943s,-0.010633s,0.000155s,0.010788s
1641515163.346457683s,1641515163.357397695s,1641515163.358273851s,1641515163.347721567s,0.010940s,-0.010552s,0.000194s,0.010746s
1641515163.348137410s,1641515163.359118839s,1641515163.359648853s,1641515163.348981857s,0.010982s,-0.010667s,0.000157s,0.010824s
1641515163.349385356s,1641515163.360348530s,1641515163.360837360s,1641515163.350121467s,0.010963s,-0.010716s,0.000124s,0.010840s
1641515163.350552363s,1641515163.361582061s,1641515163.362009131s,1641515163.351859997s,0.011030s,-0.010149s,0.000440s,0.010589s
1641515163.352396885s,1641515163.363445573s,1641515163.363884419s,1641515163.353247374s,0.011049s,-0.010637s,0.000206s,0.010843s
1641515163.353689780s,1641515163.364612352s,1641515163.365182334s,1641515163.354459225s,0.010923s,-0.010723s,0.000100s,0.010823s
1641515163.354886839s,1641515163.365824123s,1641515163.366478233s,1641515163.355846184s,0.010937s,-0.010632s,0.000153s,0.010785s
1641515163.356268851s,1641515163.367214998s,1641515163.367786387s,1641515163.357154705s,0.010946s,-0.010632s,0.000157s,0.010789s
1641515163.357579611s,1641515163.368519984s,1641515163.369074702s,1641515163.358425516s,0.010940s,-0.010649s,0.000146s,0.010795s
1641515163.358856620s,1641515163.369871434s,1641515163.370270569s,1641515163.359626690s,0.011015s,-0.010644s,0.000185s,0.010829s
1641515163.359938468s,1641515163.370878822s,1641515163.371453220s,1641515163.360770467s,0.010941s,-0.010683s,0.000129s,0.010812s
1641515163.361101256s,1641515163.372029089s,1641515163.372615551s,1641515163.361902889s,0.010928s,-0.010713s,0.000108s,0.010820s
1641515163.362255866s,1641515163.373216764s,1641515163.373599707s,1641515163.362906975s,0.010961s,-0.010693s,0.000134s,0.010827s
1641515163.363223857s,1641515163.374135257s,1641515163.374670550s,1641515163.364034345s,0.010911s,-0.010636s,0.000138s,0.010774s
1641515163.364353467s,1641515163.375264980s,1641515163.375684402s,1641515163.364946137s,0.010911s,-0.010738s,0.000087s,0.010825s
1641515163.365357032s,1641515163.376312592s,1641515163.376559567s,1641515163.365862461s,0.010956s,-0.010697s,0.000129s,0.010826s
1641515163.366259449s,1641515163.377213548s,1641515163.377492491s,1641515163.366786857s,0.010954s,-0.010705s,0.000124s,0.010830s
1641515163.367185408s,1641515163.378141288s,1641515163.378478343s,1641515163.367788443s,0.010956s,-0.010690s,0.000133s,0.010823s
1641515163.368193505s,1641515163.379153796s,1641515163.379592962s,1641515163.368877531s,0.010960s,-0.010715s,0.000123s,0.010838s
1641515163.369114672s,1641515163.379998656s,1641515163.380403102s,1641515163.369643435s,0.010884s,-0.010760s,0.000062s,0.010822s
1641515163.369973182s,1641515163.380994844s,1641515163.381420154s,1641515163.370735908s,0.011022s,-0.010684s,0.000169s,0.010853s
1641515163.371061593s,1641515163.382015416s,1641515163.382726581s,1641515163.372031355s,0.010954s,-0.010695s,0.000129s,0.010825s
1641515163.372446157s,1641515163.383466578s,1641515163.383753360s,1641515163.373074088s,0.011020s,-0.010679s,0.000171s,0.010850s
1641515163.373498681s,1641515163.384520717s,1641515163.384796908s,1641515163.374107133s,0.011022s,-0.010690s,0.000166s,0.010856s
1641515163.374508861s,1641515163.385469385s,1641515163.385672328s,1641515163.374891995s,0.010961s,-0.010780s,0.000090s,0.010870s
1641515163.375193981s,1641515163.386152198s,1641515163.386465861s,1641515163.375737952s,0.010958s,-0.010728s,0.000115s,0.010843s
