quic,OFF_S
0.011245966,0.010852s
0.010468721,0.010810s
0.010410905,0.010842s
0.013226271,0.010833s
0.010426879,0.010857s
0.012851357,0.010828s
0.011260629,0.010797s
0.014535427,0.010826s
0.010289192,0.010826s
0.010430932,0.010871s
0.010525346,0.010838s
0.013607383,0.010852s
0.010565281,0.010837s
0.010948777,0.010859s
0.01070559,0.010825s
0.009762764,0.010856s
0.010536909,0.010840s
0.009800196,0.010814s
0.010351658,0.010838s
0.014616489,0.010853s
0.012742043,0.010850s
0.010512948,0.010852s
0.010352969,0.010840s
0.014025569,0.010870s
0.010187864,0.010849s
0.013385892,0.010868s
0.010963559,0.010855s
0.010857701,0.010871s
0.010896802,0.010851s
0.013483644,0.010827s
0.014382482,0.010824s
0.010406852,0.010844s
0.009893656,0.010831s
0.014626145,0.010792s
0.010434628,0.010848s
0.012210488,0.010859s
0.010396242,0.010860s
0.01377511,0.010828s
0.014677644,0.010819s
0.010463238,0.010842s
0.013509274,0.010812s
0.010290265,0.010792s
0.010852337,0.010870s
0.010360599,0.010841s
0.010924339,0.010847s
0.010215044,0.010831s
0.0137012,0.010834s
0.013353705,0.010872s
0.010292649,0.010855s
0.014007449,0.010830s
0.010482907,0.010853s
0.010137916,0.010851s
0.010472417,0.010841s
0.010320544,0.010837s
0.013992667,0.010852s
0.013953805,0.010830s
0.010404348,0.010864s
0.010131359,0.010834s
0.013909578,0.010825s
0.015571117,0.010806s
0.010231853,0.010846s
0.013791203,0.010814s
0.013152838,0.010823s
0.010391951,0.010827s
0.011088014,0.010860s
0.014502287,0.010815s
0.013760686,0.010851s
0.013193607,0.010867s
0.013055801,0.010857s
0.013469338,0.010829s
0.014318705,0.010830s
0.013424993,0.010844s
0.010398746,0.010846s
0.010345221,0.010831s
0.011005402,0.010853s
0.014385223,0.010798s
0.01047349,0.010858s
0.011440516,0.010867s
0.010341763,0.010802s
0.013308764,0.010862s
0.010500789,0.010806s
0.013130307,0.010814s
0.010427594,0.010873s
0.014507771,0.010811s
0.013473153,0.010830s
0.013340712,0.010826s
0.010479808,0.010857s
0.013922691,0.010823s
0.014329672,0.010857s
0.010390043,0.010848s
0.012624145,0.010827s
0.012425423,0.010868s
0.009723783,0.010840s
0.010396361,0.010837s
0.013250709,0.010850s
0.013425708,0.010870s
0.010211825,0.010855s
0.014103174,0.010831s
0.010169268,0.010856s
0.012203932,0.010849s
0.013417006,0.010848s
0.01041615,0.010868s
0.015438318,0.010836s
0.010372996,0.010857s
0.009653926,0.010871s
0.013136029,0.010815s
0.010861635,0.010823s
0.012916088,0.010869s
0.010243773,0.010845s
0.01098609,0.010865s
0.010077715,0.010853s
0.009598017,0.010841s
0.014464974,0.010861s
0.010167956,0.010805s
0.009521127,0.010853s
0.012622476,0.010841s
0.013584852,0.010808s
0.010283589,0.010827s
0.01037693,0.010823s
0.010371804,0.010841s
0.010045648,0.010850s
0.013902545,0.010832s
0.013151884,0.010844s
0.013413429,0.010834s
0.013785481,0.010897s
0.013048649,0.010828s
0.010334611,0.010847s
