Index,OFF_S,quic 
378,0.001226s,0.003755927
379,0.001235s,0.000385165
380,0.001230s,0.000473619
381,0.001255s,0.004885674
382,0.001222s,0.000885129
383,0.001233s,0.002806544
384,0.001249s,0.003457665
385,0.001244s,0.000406384
386,0.001229s,0.003447652
387,0.001243s,0.003176928
388,0.001240s,0.000523925
389,0.001226s,0.000345826
390,0.001248s,0.002966881
391,0.001233s,0.000637412
392,0.001212s,0.002959609
393,0.001260s,0.003608704
394,0.001262s,0.000537872
395,0.001242s,0.002334476
396,0.001239s,0.003115773
397,0.001240s,0.000156283
398,0.001253s,0.000325918
399,0.001260s,-0.000343084
400,0.001236s,0.002867222
401,0.001232s,0.000518918
402,0.001233s,0.000853181
403,0.001199s,0.004126787
404,0.001244s,0.000385523
405,0.001255s,0.000241041
406,0.001227s,9.25E-05
407,0.001235s,0.002766132
408,0.001185s,0.00033319
409,0.001196s,0.003138304
410,0.001198s,0.003539324
411,0.001231s,0.00342989
412,0.001209s,0.000108957
413,0.001260s,0.004222274
414,0.001190s,0.000277519
415,0.001189s,0.002960086
416,0.001187s,0.000610948
417,0.001234s,0.000102639
418,0.001241s,0.002943635
419,0.001249s,0.002770305
420,0.001248s,0.000498414
421,0.001248s,-0.000537515
422,0.001224s,0.002954483
423,0.001272s,0.004117608
424,0.001227s,0.003143072
425,0.001248s,0.000468612
426,0.001263s,0.001484156
427,0.001223s,0.000158906
428,0.001212s,0.000309229
429,0.001206s,0.003438234
430,0.001201s,0.000370145
431,0.001185s,0.003428102
432,0.001191s,0.000416875
433,0.001190s,0.000562906
434,0.001192s,0.003458023
435,0.001203s,0.002955437
436,0.001195s,0.005434394
437,0.001201s,0.003394604
438,0.001191s,0.003363371
439,0.001240s,0.003407121
440,0.001197s,0.006492972
441,0.001193s,0.004274011
442,0.001200s,0.003972292
443,0.001207s,0.003781438
444,0.001250s,0.000454307
445,0.001251s,0.003607154
446,0.001269s,0.003614306
447,0.001264s,0.000444531
448,0.001234s,0.003509283
449,0.001230s,0.004374504
450,0.001228s,0.003554225
451,0.001237s,0.003631473
452,0.001250s,0.003587127
453,0.001259s,0.000834346
454,0.001231s,0.001355052
455,0.001265s,-9.93E-05
456,0.001262s,0.000177979
457,0.001264s,0.003821731
458,0.001261s,0.004099607
459,0.001210s,0.003206253
460,0.001239s,0.000319123
461,0.001234s,0.000465631
462,0.001209s,0.003950834
463,0.001226s,0.000387669
464,0.001209s,0.003137589
465,0.001199s,0.003190398
466,0.001233s,0.002867818
467,0.001231s,0.003134727
468,0.001232s,0.002773881
469,0.001267s,0.002973318
470,0.001255s,0.00293529
471,0.001242s,0.003085852
472,0.001234s,6.08E-06
473,0.001236s,0.000389338
474,0.001188s,0.000291109
475,0.001199s,0.000211477
476,0.001211s,0.00050056
477,0.001191s,0.003295422
478,0.001197s,0.002870321
479,0.001212s,0.00342226
480,0.001199s,0.00367403
481,0.001208s,0.000325561
482,0.001198s,0.002847195
483,0.001266s,0.000431657
484,0.001191s,0.000293732
485,0.001203s,0.003113151
486,0.001264s,0.00280714
487,0.001204s,0.001142383
488,0.001193s,0.002396822
489,0.001185s,0.002973557
490,0.001233s,0.000260353
491,0.001220s,0.000210285
492,0.001218s,0.003059506
493,0.001205s,0.003796697
